JobTitle,Company,Location,Summary,Salary
Manager – Salesforce Enterprise Applications (Pune based),Workday,India,"At Workday, we help the world’s largest organizations adapt to what’s next by bringing finance, HR, and planning into a single enterprise cloud.",
Knowledge Manager,Jacobs,"Gurgaon, Haryana","Our People & Places Solutions business – reinforces our drive to improve the lives of people everywhere and epitomizes the ""why"" of what we do – the tremendous…",
Salesforce Quality Engineer,Twilio,"Bengaluru, Karnataka",Experienced in testing salesforce applications with other integrations will be advantageous including scope to include integration of salesforce application…,
Salesforce Project Manager,Zscaler,"Chandigarh, Chandigarh","For over 10 years, Zscaler has been disrupting and transforming the security industry. Our 100% purpose-built cloud platform delivers the entire gateway…",
Salesforce Project Manager,Cloud Certitude,"Gurgaon, Haryana","Assists clients in the design, business architect, process development, functional implementation, and support of Salesforce CRM Applications.",
Renewals Manager,BrowserStack,"Mumbai, Maharashtra","What do Microsoft, The Gap, Royal Bank of Scotland, Lockheed Martin, and top Open Source projects like JQuery have in common? Develop a world class sales team.",
Salesforce Commerce Cloud - Manager,Publicis Sapient,"Gurgaon, Haryana","Publicis Sapient is a digital transformation partner helping established organizations get to their future, digitally-enabled state, both in the way they work…",
Retail Sales Manager,Gravity Creation,"Vashi, Navi Mumbai, Maharashtra","Retail, retail sales, retail store manager, Sales Manager, Sales Management, Salesforce, retail management, Merchandising, Fashion Designing.","₹18,000 - ₹25,000 a month"
Business Development Manager,Maya Furniture and Interiors,"Ghaziabad, Uttar Pradesh","Identifying, qualifying, and securing business opportunities; coordinating business generation activities; developing customized targeted sales strategies.","₹20,000 a month"
Test Manager – SFDC,Mercedes-Benz Research and Development India Priva...,"Bengaluru, Karnataka",Key roles and responsibilities include: Responsible for complete test management of various test tracks within CRM projects independently throughout the…,
Salesforce Developer,kevell Corp,"Madurai, Tamil Nadu",Meeting with project managers to determine CRM needs. Developing customized solutions within the Salesforce platform. Creating timelines and development goals.,"₹33,823 - ₹41,339 a month"
Executive Territory Manager,Syngenta,"Belgaum, Karnataka",Any other responsibilities as assigned by senior manager from time to time including Country/Division projects. Team working and People Management Skills.,
"Manager, IT Development",Intercontinental Exchange,"Hyderabad, Telangana","Intercontinental Exchange, Inc. (ICE) presents a unique opportunity to work with cutting-edge technology and business challenges in the financial sector.",
Salesforce Administrator,Fine Jobs,"Mumbai, Maharashtra","The role demands contribution as project manager & salesforce administrator/analyst. We are looking for a Salesforce administrator passionate towards defining,…",
Jr. Account Manager,3AK CHEMIE pvt ltd,"Hyderabad, Telangana",We are looking for a Junior Account Manager at our factory location Kallakal Village.(12 kms from medchal) . If you enjoy coming up with effective solutions and…,"₹25,000 - ₹28,000 a month"
"Engagement Manager, Route to Market analytics",Fractal.ai,"Mumbai, Maharashtra","Expertise in Route to Market and Retail execution solutions for CPG companies including salesforce digitization, B2B e-commerce and improving in-store execution…",
Regional Sales Manager,Advanced Sterilization Products,"Kolkata, West Bengal","Effectively communicate and collaborate with other sales manager, field service engineers, marketing, training and education. Here’s what we’ll need from you:",
Regional Account Manager,DuPont,"Mumbai, Maharashtra","Reporting to the Regional Sales Leader, the Regional Account Manager will focus on top KPIs, in their defined sales region, such as:",
Sr. Sales Manager,Crescendo WorldWide,"Pune, Maharashtra","Experience: Proven working experience as a business development manager, sales executive or a relevant role. Supporting 20,000+ companies globally for Expanding…","₹4,00,000 - ₹8,00,000 a year"
Salesforce Engineer,Skillsoft,Andhra Pradesh,All resumes submitted by employment agencies directly to any Skillsoft employee or hiring manager in any form without a signed Skillsoft Employment Agency…,
Project Manager,Kcloud Technologies,"Noida, Uttar Pradesh","Qualification : *B.tech, BCA,MCA,MBA,BBA. 8 years of IT experience and MUST HAVE 6 to 8 years of SFDC project management SM leadership experience.","₹10,00,000 - ₹14,00,000 a year"
Manager / Sr. Manager - BD (International Markets for SFMC),Social Wavelength,"Mumbai, Maharashtra",Experience on Business Development for International Markets for Salesforce Marketing Cloud (SFMC). Following up on leads for taking brand brief.,
Manager - Sales - Jamshedpur,Siemens Limited,"Jamshedpur, Jharkhand",Siemens Digital Industries is an innovation and technology leader in industrial automation and digitalization. What you would be doing?,
Manager of Customer Success Management,Replicon,"Bengaluru, Karnataka","Replicon is looking for a passionate, energetic, and results-oriented individual to join our team as a Manager for the Customer Success Management Team.",
Business Development Manager,Caz Brain,"Delhi, Delhi","Proven working experience as a business development manager, sales executive or a relevant role. We are looking for an ambitious and energetic Business…","₹12,00,000 a year"
Marketing Manager,Fractal.ai,"Mumbai, Maharashtra","To implement PPC / lead gen strategies across Google AdWords, LinkedIn, and Bing. You will be responsible for the day to day running and management of campaigns…",
IT Manager,Honeywell,"Bengaluru, Karnataka","12 years of IT experience with minimum of 5 years salesforce work experience. Join a team recognized for leadership, innovation and diversity.",
"Manager, Partnerships & Engagements",TeachForIndia,"Mumbai, Maharashtra",The Mission of the Development team is to build lifelong champions of the cause and to acquire financial support for the movement.,
"Manager, Graphic Design",TeachForIndia,"Mumbai, Maharashtra",The Manager Graphic Design will be responsible for creating a distinct design narrative for the Teach For India brand. What Teach For India Can Offer You.,
Salesforce Developer,Medly Pharmacy,"Pune, Maharashtra",Coordinate with project managers and translate CRM business needs into technical user stories for development. Experience with Sales and Marketing cloud.,
Account Manager,HI-TECH INFORMATION & FAST SERVICES,"Swargate, Pune, Maharashtra",Currently we are having an urgent opening with one of our reputed clients in Pune is into MANUFACTURING INDUSTY . EXPREANCE : - 08 to 10 year .,"₹50,000 - ₹66,000 a month"
"Manager, Technology",TeachForIndia,"Mumbai, Maharashtra","The Technology Manager is responsible for imparting a vision, driving implementation and ensuring smooth software operations for all technical systems within…",
SalesForce Admin,IQVIA,"Bengaluru, Karnataka","Maintain knowledge of the IT industry, analyse the abilities of tools and technologies and compare with the needs of the business, recommend potential solutions…",
"Manager, Monitoring and Evaluation",TeachForIndia,"Mumbai, Maharashtra",Teach for India receives around 15000 Fellowship applications each year. The Selection Team is responsible for choosing all (and only) the right candidates for…,
Content Experience Manager,Salesforce,"Bengaluru, Karnataka","Partnering with other Applications cross-functional managers to ensure the success of your product areas. To get the best candidate experience, please consider…",
Program Manager - Marketplaces & App Exchange,BuzzBoard,Telangana,"BuzzBoard is seeking a dynamic and motivated Program Manager - Marketplaces and App Exchange to explore, identify, strategize and develop partnerships with B2B…",
Proposal Development Associate Manager,Accenture,India,"Accenture is a leading global professional services company, providing a broad range of services in strategy and consulting, interactive, technology and…",
"Manager, Technology (Data Management)",TeachForIndia,"Mumbai, Maharashtra","The Manager, Technology (Data Management) is responsible for implementation and support for cross-platform integration across all data management systems at…",
"Manager, Platform Admin",Intercontinental Exchange,"Hyderabad, Telangana","The Platform Admin Manager will be part of a team that will perform various data management functions across our global IT platforms such as ServiceNow,…",
Business Development Manager,RIGHT DEAL REALTY LLP,"Kamothe, Navi Mumbai, Maharashtra","Proven working experience as a business development manager, sales. We are looking for an ambitious and energetic Business Development.","₹50,000 - ₹70,000 a month"
Assistant Manager - Key Accounts,Ketto,"Mumbai, Maharashtra",Needs a dynamic candidate who has a background in lead generation and account management. He/she should be able to drive a new vertical single-handedly and come…,
Business Development Manager,Wise Monk,Remote,"Negotiating on price, costs, delivery and specifications with buyers and managers to ensure the solution can be delivered within budget and margin expectations.","₹5,00,000 a year"
Engineering Manger (Salesforce),Kaplan,"Bengaluru, Karnataka","Work with the Executive Director, other development managers, and diverse teams including business analysts, database and UI specialists, and offshore…",
CloudOps Manager,AutoRABIT Holding Inc.,"Hyderabad, Telangana","AutoRABIT is the leader in DevOps and CI/CD for SaaS platforms such as Salesforce. Its unique metadata-aware capability makes Release Management, Version…",
Marketing Manager - India,AVEVA,"Mumbai, Maharashtra","Are you ready to join the global leader in engineering and industrial software? You’ll be part of a team that drives digital transformation to over 16,000…",
Content Manager,CoreStack,Remote,CoreStack is a next-generation multi-cloud governance platform that empowers enterprises to rapidly achieve autonomous and continuous cloud governance and…,
REVENUE MANAGER,Hyatt Regency Ahmedabad,"Ahmedabad, Gujarat",Co-ordinate with Marcomm manager for marketing text for all special promotions that will be loaded on Salesforce.com.,
Technical Project Manager (Salesforce),Preludesys,"Siruseri, Chennai, Tamil Nadu",Elicit business requirements and developing a solution through functional and technical design. Aid the Engineers / Sr. Engineers in navigating through the…,
Technical Project Manager (Salesforce),Preludesys,"Siruseri, Chennai, Tamil Nadu",Elicit business requirements and developing a solution through functional and technical design. Aid the Engineers / Sr. Engineers in navigating through the…,
Project Manager,Hire Digital,"Mumbai, Maharashtra",Previous experience working as a digital project manager or in a similar role. A multinational consumer & industrial firm is seeking a Project Manager to…,
